from_hex,to_hex,travel_time_min
872a8b1a8ffffff,872a8b1a8ffffff,7.0
872a8b1a8ffffff,872a8b180ffffff,35.0
872a8b1a8ffffff,872a8b185ffffff,21.0
872a8b1a8ffffff,872a8b1aeffffff,15.0
872a8b1a8ffffff,872a8b186ffffff,24.0
872a8b1a8ffffff,872a8b184ffffff,24.0
872a8b1a8ffffff,872a8b1a3ffffff,29.0
872a8b1a8ffffff,872a8b1a1ffffff,27.0
872a8b1a8ffffff,872a8b1b1ffffff,28.0
872a8b1a8ffffff,872a8b1a2ffffff,22.0
872a8b1a8ffffff,872a8b1adffffff,38.0
872a8b1a8ffffff,872a8b11effffff,40.0
872a8b1a8ffffff,872a8b11cffffff,42.0
872a8b1a8ffffff,872a8b1acffffff,19.0
872a8b1a8ffffff,872a8b113ffffff,36.0
872a8b1a8ffffff,872a8b111ffffff,42.0
872a8b1a8ffffff,872a8b112ffffff,39.0
872a8b1a8ffffff,872a8b110ffffff,36.0
872a8b1a8ffffff,872a8b115ffffff,36.0
872a8b1a8ffffff,872a8b1a5ffffff,34.0
872a8b1a8ffffff,872a8b103ffffff,53.0
872a8b1a8ffffff,872a8b101ffffff,50.0
872a8b1a8ffffff,872a8b102ffffff,43.0
872a8b1a8ffffff,872a8b100ffffff,41.0
872a8b1a8ffffff,872a8b105ffffff,44.0
872a8b1a8ffffff,872a8b106ffffff,37.0
872a8b1a8ffffff,872a8b104ffffff,43.0
872a8b1a8ffffff,872a8b123ffffff,54.0
872a8b1a8ffffff,872a8b133ffffff,48.0
872a8b1a8ffffff,872a8b131ffffff,44.0
872a8b1a8ffffff,872a8b1a0ffffff,27.0
872a8b1a8ffffff,872a8b1b5ffffff,31.0
872a8b1a8ffffff,872a8b1a6ffffff,26.0
872a8b1a8ffffff,872a8b1a4ffffff,30.0
872a8b1a8ffffff,872a8b1b4ffffff,36.0
872a8b1a8ffffff,872a8bc5bffffff,33.0
872a8b1a8ffffff,872a8bc59ffffff,27.0
872a8b1a8ffffff,872a8bc4affffff,27.0
872a8b1a8ffffff,872a8bc5affffff,38.0
872a8b1a8ffffff,872a8bc58ffffff,37.0
872a8b1a8ffffff,872a8b116ffffff,34.0
872a8b1a8ffffff,872a8b114ffffff,33.0
872a8b1a8ffffff,872a8bc4bffffff,31.0
872a8b1a8ffffff,872a8bc49ffffff,36.0
872a8b1a8ffffff,872a8b132ffffff,35.0
872a8b1a8ffffff,872a8bc48ffffff,33.0
872a8b1a8ffffff,872a8bc4dffffff,35.0
872a8b1a8ffffff,872a8b136ffffff,42.0
872a8b1a8ffffff,872a8bc4effffff,33.0
872a8b1a8ffffff,872a8bc4cffffff,34.0
872a8b1a8ffffff,872a8b122ffffff,43.0
872a8b1a8ffffff,872a8b130ffffff,42.0
872a8b1a8ffffff,872a8b135ffffff,51.0
872a8b1a8ffffff,872a8b126ffffff,46.0
872a8b1a8ffffff,872a8b134ffffff,41.0
872a8b1a8ffffff,872a8b89bffffff,49.0
872a8b1a8ffffff,872a8bc69ffffff,41.0
872a8b1a8ffffff,872a8b89affffff,45.0
872a8b1a8ffffff,872a8b898ffffff,53.0
872a8b1a8ffffff,872a8bc6dffffff,39.0
872a8b1a8ffffff,872a8bc5dffffff,31.0
872a8b1a8ffffff,872a8bc5effffff,40.0
872a8b1a8ffffff,872a8bc5cffffff,34.0
872a8b1a8ffffff,872a8bc43ffffff,34.0
872a8b1a8ffffff,872a8bc53ffffff,39.0
872a8b1a8ffffff,872a8bc51ffffff,36.0
872a8b1a8ffffff,872a8bc42ffffff,37.0
872a8b1a8ffffff,872a8bc50ffffff,41.0
872a8b1a8ffffff,872a8bc55ffffff,43.0
872a8b1a8ffffff,872a8bc46ffffff,46.0
872a8b1a8ffffff,872a8bc6bffffff,37.0
872a8b1a8ffffff,872a8bc41ffffff,32.0
872a8b1a8ffffff,872a8bc6affffff,40.0
872a8b1a8ffffff,872a8bc68ffffff,38.0
872a8b1a8ffffff,872a8bc40ffffff,37.0
872a8b1a8ffffff,872a8bc45ffffff,34.0
872a8b1a8ffffff,872a8bc6effffff,37.0
872a8b1a8ffffff,872a8bc44ffffff,36.0
872a8b1a8ffffff,872a8bc63ffffff,39.0
872a8b1a8ffffff,872a8bc61ffffff,36.0
872a8b1a8ffffff,872a8b89effffff,47.0
872a8b1a8ffffff,872a8b89cffffff,58.0
872a8b1a8ffffff,872a8bc6cffffff,40.0
872a8b1a8ffffff,872a8b893ffffff,40.0
872a8b1a8ffffff,872a8b891ffffff,45.0
872a8b1a8ffffff,872a8b892ffffff,46.0
872a8b1a8ffffff,872a8b890ffffff,49.0
872a8b1a8ffffff,872a8b895ffffff,45.0
872a8b1a8ffffff,872a8b896ffffff,42.0
872a8b1a8ffffff,872a8b894ffffff,49.0
872a8b1a8ffffff,872a8bc56ffffff,45.0
872a8b1a8ffffff,872a8bc54ffffff,45.0
872a8b1a8ffffff,872a8bc73ffffff,44.0
872a8b1a8ffffff,872a8bc09ffffff,50.0
872a8b1a8ffffff,872a8bc72ffffff,46.0
872a8b1a8ffffff,872a8bc70ffffff,40.0
872a8b1a8ffffff,872a8bc0dffffff,47.0
872a8b1a8ffffff,872a8bc76ffffff,41.0
872a8b1a8ffffff,872a8bc74ffffff,46.0
872a8b1a8ffffff,872a8bc0cffffff,45.0
872a8b1a8ffffff,872a8b193ffffff,32.0
872a8b1a8ffffff,872a8b191ffffff,34.0
872a8b1a8ffffff,872a8b182ffffff,31.0
872a8b1a8ffffff,872a8b192ffffff,31.0
872a8b1a8ffffff,872a8b190ffffff,30.0
872a8b1a8ffffff,872a8b195ffffff,29.0
872a8b1a8ffffff,872a8b196ffffff,36.0
872a8b1a8ffffff,872a8b194ffffff,46.0
872a8b1a8ffffff,872a8b1b3ffffff,32.0
872a8b1a8ffffff,872a8bcc9ffffff,41.0
872a8b1a8ffffff,872a8b544ffffff,55.0
872a8b1a8ffffff,872a8b563ffffff,38.0
872a8b1a8ffffff,872a8b561ffffff,36.0
872a8b1a8ffffff,872a8b562ffffff,59.0
872a8b1a8ffffff,872a8b560ffffff,37.0
872a8b1a8ffffff,872a8b565ffffff,39.0
872a8b1a8ffffff,872a8b575ffffff,50.0
872a8b1a8ffffff,872a8b566ffffff,43.0
872a8b1a8ffffff,872a8b564ffffff,45.0
872a8b1a8ffffff,872a8bccbffffff,36.0
872a8b1a8ffffff,872a8b555ffffff,
872a8b1a8ffffff,872a8b546ffffff,54.0
872a8b1a8ffffff,872a8b556ffffff,
872a8b1a8ffffff,872a8b554ffffff,
872a8b1a8ffffff,872a8b573ffffff,59.0
872a8b1a8ffffff,872a8b571ffffff,54.0
872a8b1a8ffffff,872a8b509ffffff,
872a8b1a8ffffff,872a8b572ffffff,
872a8b1a8ffffff,872a8b570ffffff,57.0
872a8b1a8ffffff,872a8b50dffffff,
872a8b1a8ffffff,872a8b1b2ffffff,40.0
872a8b1a8ffffff,872a8b1b0ffffff,35.0
872a8b1a8ffffff,872a8bcc8ffffff,40.0
872a8b1a8ffffff,872a8bccdffffff,37.0
872a8b1a8ffffff,872a8b1b6ffffff,37.0
872a8b1a8ffffff,872a8bcccffffff,44.0
872a8b1a8ffffff,872a8bcebffffff,44.0
872a8b1a8ffffff,872a8bce9ffffff,40.0
872a8b1a8ffffff,872a8bcc1ffffff,48.0
872a8b1a8ffffff,872a8bceaffffff,42.0
872a8b1a8ffffff,872a8b576ffffff,60.0
872a8b1a8ffffff,872a8b574ffffff,58.0
872a8b1a8ffffff,872a8b50cffffff,
872a8b1a8ffffff,872a8b52bffffff,60.0
872a8b1a8ffffff,872a8b529ffffff,57.0
872a8b1a8ffffff,872a8bcdaffffff,50.0
872a8b1a8ffffff,872a8b52affffff,
872a8b1a8ffffff,872a8b528ffffff,57.0
872a8b1a8ffffff,872a8b52dffffff,56.0
872a8b1a8ffffff,872a8b52effffff,
872a8b1a8ffffff,872a8bcdbffffff,48.0
872a8b1a8ffffff,872a8bcd9ffffff,53.0
872a8b1a8ffffff,872a8bccaffffff,44.0
872a8b1a8ffffff,872a8bcd8ffffff,53.0
872a8b1a8ffffff,872a8bcddffffff,51.0
872a8b1a8ffffff,872a8bcceffffff,42.0
872a8b1a8ffffff,872a8bcdeffffff,54.0
872a8b1a8ffffff,872a8bcdcffffff,51.0
872a8b1a8ffffff,872a8bcc3ffffff,51.0
