from_hex,to_hex,travel_time_min
872a8b100ffffff,872a8b100ffffff,1.0
872a8b100ffffff,872a8b101ffffff,63.0
872a8b100ffffff,872a8b102ffffff,78.0
872a8b100ffffff,872a8b103ffffff,
872a8b100ffffff,872a8b104ffffff,55.0
872a8b100ffffff,872a8b105ffffff,63.0
872a8b100ffffff,872a8b106ffffff,77.0
872a8b100ffffff,872a8b110ffffff,122.0
872a8b100ffffff,872a8b111ffffff,124.0
872a8b100ffffff,872a8b112ffffff,
872a8b100ffffff,872a8b113ffffff,
872a8b100ffffff,872a8b114ffffff,
872a8b100ffffff,872a8b115ffffff,76.0
872a8b100ffffff,872a8b116ffffff,
872a8b100ffffff,872a8b11cffffff,120.0
872a8b100ffffff,872a8b11effffff,
872a8b100ffffff,872a8b122ffffff,90.0
872a8b100ffffff,872a8b123ffffff,83.0
872a8b100ffffff,872a8b126ffffff,
872a8b100ffffff,872a8b130ffffff,
872a8b100ffffff,872a8b131ffffff,115.0
872a8b100ffffff,872a8b132ffffff,
872a8b100ffffff,872a8b133ffffff,
872a8b100ffffff,872a8b134ffffff,
872a8b100ffffff,872a8b135ffffff,
872a8b100ffffff,872a8b136ffffff,
872a8b100ffffff,872a8b180ffffff,
872a8b100ffffff,872a8b182ffffff,
872a8b100ffffff,872a8b184ffffff,
872a8b100ffffff,872a8b185ffffff,
872a8b100ffffff,872a8b186ffffff,
872a8b100ffffff,872a8b190ffffff,
872a8b100ffffff,872a8b191ffffff,
872a8b100ffffff,872a8b192ffffff,
872a8b100ffffff,872a8b193ffffff,
872a8b100ffffff,872a8b194ffffff,
872a8b100ffffff,872a8b195ffffff,
872a8b100ffffff,872a8b196ffffff,
872a8b100ffffff,872a8b1a0ffffff,
872a8b100ffffff,872a8b1a1ffffff,
872a8b100ffffff,872a8b1a2ffffff,
872a8b100ffffff,872a8b1a3ffffff,
872a8b100ffffff,872a8b1a4ffffff,
872a8b100ffffff,872a8b1a5ffffff,
872a8b100ffffff,872a8b1a6ffffff,
872a8b100ffffff,872a8b1a8ffffff,
872a8b100ffffff,872a8b1acffffff,
872a8b100ffffff,872a8b1adffffff,
872a8b100ffffff,872a8b1aeffffff,
872a8b100ffffff,872a8b1b0ffffff,
872a8b100ffffff,872a8b1b1ffffff,
872a8b100ffffff,872a8b1b2ffffff,
872a8b100ffffff,872a8b1b3ffffff,
872a8b100ffffff,872a8b1b4ffffff,
872a8b100ffffff,872a8b1b5ffffff,
872a8b100ffffff,872a8b1b6ffffff,
872a8b100ffffff,872a8b509ffffff,
872a8b100ffffff,872a8b50cffffff,
872a8b100ffffff,872a8b50dffffff,
872a8b100ffffff,872a8b520ffffff,
872a8b100ffffff,872a8b521ffffff,
872a8b100ffffff,872a8b523ffffff,
872a8b100ffffff,872a8b524ffffff,
872a8b100ffffff,872a8b525ffffff,
872a8b100ffffff,872a8b526ffffff,
872a8b100ffffff,872a8b528ffffff,
872a8b100ffffff,872a8b529ffffff,
872a8b100ffffff,872a8b52affffff,
872a8b100ffffff,872a8b52bffffff,
872a8b100ffffff,872a8b52cffffff,
872a8b100ffffff,872a8b52dffffff,
872a8b100ffffff,872a8b52effffff,
872a8b100ffffff,872a8b544ffffff,
872a8b100ffffff,872a8b546ffffff,
872a8b100ffffff,872a8b554ffffff,
872a8b100ffffff,872a8b555ffffff,
872a8b100ffffff,872a8b556ffffff,
872a8b100ffffff,872a8b560ffffff,
872a8b100ffffff,872a8b561ffffff,
872a8b100ffffff,872a8b562ffffff,
872a8b100ffffff,872a8b563ffffff,
872a8b100ffffff,872a8b564ffffff,
872a8b100ffffff,872a8b565ffffff,
872a8b100ffffff,872a8b566ffffff,
872a8b100ffffff,872a8b570ffffff,
872a8b100ffffff,872a8b571ffffff,
872a8b100ffffff,872a8b572ffffff,
872a8b100ffffff,872a8b573ffffff,
872a8b100ffffff,872a8b574ffffff,
872a8b100ffffff,872a8b575ffffff,
872a8b100ffffff,872a8b576ffffff,
872a8b100ffffff,872a8b890ffffff,
872a8b100ffffff,872a8b891ffffff,
872a8b100ffffff,872a8b892ffffff,
872a8b100ffffff,872a8b893ffffff,
872a8b100ffffff,872a8b894ffffff,
872a8b100ffffff,872a8b895ffffff,
872a8b100ffffff,872a8b896ffffff,
872a8b100ffffff,872a8b898ffffff,
872a8b100ffffff,872a8b89affffff,
872a8b100ffffff,872a8b89bffffff,
872a8b100ffffff,872a8b89cffffff,
872a8b100ffffff,872a8b89effffff,
872a8b100ffffff,872a8b8b2ffffff,
872a8b100ffffff,872a8b8b3ffffff,
872a8b100ffffff,872a8b8b6ffffff,
872a8b100ffffff,872a8bc00ffffff,
872a8b100ffffff,872a8bc01ffffff,
872a8b100ffffff,872a8bc02ffffff,
872a8b100ffffff,872a8bc03ffffff,
872a8b100ffffff,872a8bc04ffffff,
872a8b100ffffff,872a8bc05ffffff,
872a8b100ffffff,872a8bc06ffffff,
872a8b100ffffff,872a8bc08ffffff,
872a8b100ffffff,872a8bc09ffffff,
872a8b100ffffff,872a8bc0affffff,
872a8b100ffffff,872a8bc0bffffff,
